[test_data/solomon/c101.csv]
[INFO] Initial solution satisfies Capacity: 1
[INFO] Initial solution satisfies Site-Dependency: 1
[INFO] Initial solution satisfies Time Windows: 1
[INFO] Initial solution's total violated time: 0
[INFO] Objective = 1511.75
[INFO] Cost func = 1511.75
Route;Vehicle;Customer;Arrival;Start;Finish and leave;Distance from previous;Distance from depot
7;15;92;403;403;493;3.60555;44.2041
7;15;93;495;495;585;2;43.0116
7;15;97;590;590;680;5;40.3113
7;15;100;685;685;775;5;38.0789
7;15;99;780;780;870;5;33.541
8;16;57;35;35;125;35;35
8;16;55;127;127;217;2;35.0571
8;16;54;222;222;312;5;40.05
8;16;53;317;317;407;5.38516;45.1774
8;16;56;411;411;501;4;45
8;16;58;503;503;593;2;45.0444
8;16;60;596;596;686;3;45.2769
8;16;59;696;696;786;10.4403;35.0571
9;17;81;47;47;137;47.4342;47.4342
9;17;78;140;140;230;3;50.2892
9;17;76;232;232;322;2;52.2015
9;17;71;327;327;417;5;57.0088
9;17;70;422;422;512;5;58.5235
9;17;73;515;515;605;3;55.7135
9;17;77;609;609;699;4;52
9;17;79;700;700;790;1;51.0784
9;17;80;795;795;885;5.38516;51.4781
[INFO] Improved solution satisfies Capacity: 1
[INFO] Improved solution satisfies Site-Dependency: 1
[INFO] Improved solution satisfies Time Windows: 1
[INFO] Improved solution's total violated time: 0
[INFO] Objective = 828.937
[INFO] Cost func = 828.937
[DEBUG]  SOLUTION: 828.937 | 0 | {0, 0}
[test_data/solomon/c102.csv]
[INFO] Initial solution satisfies Capacity: 1
[INFO] Initial solution satisfies Site-Dependency: 1
[INFO] Initial solution satisfies Time Windows: 1
[INFO] Initial solution's total violated time: 0
[INFO] Objective = 1990.75
[INFO] Cost func = 1990.75
Route;Vehicle;Customer;Arrival;Start;Finish and leave;Distance from previous;Distance from depot
0;0;13;30;30;120;30.8058;30.8058
0;0;17;124;124;214;4;33.3017
0;0;18;217;217;307;3;35.3553
0;0;19;312;312;402;5;39.0513
0;0;15;407;407;497;5;36.0555
0;0;16;502;502;592;5;40.3113
0;0;14;594;594;684;2;39.3573
0;0;12;687;687;777;3;38.0789
1;1;67;12;12;102;12.2066;12.2066
1;1;65;103;103;193;1;12.8063
1;1;63;195;195;285;2;14.1421
1;1;62;290;290;380;5;18.0278
1;1;74;383;383;473;3;19.8494
1;1;72;478;478;568;5;23.8537
1;1;61;571;571;661;3;22.3607
1;1;64;663;663;753;2;21.5407
1;1;68;756;756;846;3;20.6155
1;1;66;851;851;941;5.38516;16.5529
1;1;69;943;943;1033;2;15.8114
2;2;1;18;18;108;18.6815;18.6815
2;2;2;110;110;200;2;20.6155
2;2;8;207;255;345;7.28011;18.1108
2;2;10;348;357;447;3.60555;16.763
2;2;11;450;450;540;3;19.6469
2;2;9;543;543;633;3.16228;20.0998
2;2;6;635;635;725;2.23607;19
2;2;4;727;727;817;2.23607;18.1108
2;2;7;819;819;909;2.82843;16
2;2;3;911;911;1001;2;16.1245
2;2;5;1002;1002;1092;1;15.1327
2;2;75;1095;1095;1185;3;15.8114
3;3;32;31;31;121;31.6228;31.6228
3;3;33;123;123;213;2;33.5261
3;3;35;218;283;373;5.83095;38.0789
3;3;38;380;479;569;7.07107;41.2311
3;3;39;574;574;664;5;40.3113
3;3;36;669;669;759;5;35.3553
3;3;34;762;762;852;3;32.3883
3;3;37;859;859;949;7.81025;39.2938
3;3;31;958;958;1048;9.43398;33.541
4;4;90;20;20;110;20.6155;20.6155
4;4;94;137;137;227;27.4591;40.6079
4;4;92;230;368;458;3.60555;44.2041
4;4;93;460;475;565;2;43.0116
4;4;97;570;570;660;5;40.3113
4;4;100;665;665;755;5;38.0789
4;4;99;760;760;850;5;33.541
4;4;96;855;855;945;5;36.0555
4;4;95;947;947;1037;2;37.2022
4;4;98;1043;1043;1133;6.40312;30.8058
5;5;20;10;10;100;10;10
5;5;24;105;105;195;5;15
5;5;25;197;197;287;2;15.1327
5;5;27;289;289;379;2;17.1172
5;5;29;382;382;472;3.60555;20
5;5;30;477;477;567;5;20.6155
5;5;28;570;570;660;3;17.7201
5;5;26;662;662;752;2;15.8114
5;5;23;755;755;845;3;13
5;5;22;848;848;938;3;12.1655
5;5;21;940;940;1030;2;10.198
6;6;57;35;35;125;35;35
6;6;55;127;127;217;2;35.0571
6;6;54;222;222;312;5;40.05
6;6;53;317;317;407;5.38516;45.1774
6;6;56;411;411;501;4;45
6;6;58;503;503;593;2;45.0444
6;6;60;596;596;686;3;45.2769
6;6;59;696;696;786;10.4403;35.0571
7;9;87;25;85;175;25.4951;25.4951
7;9;86;176;176;266;1;26.4764
7;9;83;272;272;362;6;32.3883
7;9;82;365;365;455;3;35.3553
7;9;84;460;460;550;5.83095;31.0483
7;9;85;552;552;642;2.82843;29.7321
7;9;88;645;645;735;3;26.9258
7;9;89;737;737;827;2.82843;24.3516
7;9;91;830;830;920;3.60555;22.3607
8;14;43;16;16;106;16.5529;16.5529
8;14;42;109;109;199;3;19.3132
8;14;41;201;201;291;2;18.6815
8;14;40;293;293;383;2;20.6155
8;14;44;386;386;476;3;21.5407
8;14;46;478;478;568;2.82843;20.5913
8;14;45;570;570;660;2;22.3607
8;14;48;662;662;752;2;23.3238
8;14;51;755;755;845;3;25
8;14;50;847;847;937;2.23607;22.8035
8;14;52;940;940;1030;3.16228;21.2132
8;14;49;1033;1033;1123;3;19.2094
8;14;47;1125;1125;1215;2;18.0278
9;18;81;47;47;137;47.4342;47.4342
9;18;78;140;140;230;3;50.2892
9;18;76;232;232;322;2;52.2015
9;18;71;327;327;417;5;57.0088
9;18;70;422;422;512;5;58.5235
9;18;73;515;515;605;3;55.7135
9;18;77;609;609;699;4;52
9;18;79;700;700;790;1;51.0784
9;18;80;795;795;885;5.38516;51.4781
[INFO] Improved solution satisfies Capacity: 1
[INFO] Improved solution satisfies Site-Dependency: 1
[INFO] Improved solution satisfies Time Windows: 1
[INFO] Improved solution's total violated time: 0
[INFO] Objective = 866.069
[INFO] Cost func = 866.069
[DEBUG]  SOLUTION: 866.069 | 0 | {0, 0}
[test_data/solomon/c103.csv]
[INFO] Initial solution satisfies Capacity: 1
[INFO] Initial solution satisfies Site-Dependency: 1
[INFO] Initial solution satisfies Time Windows: 1
[INFO] Initial solution's total violated time: 0
[INFO] Objective = 1575.63
[INFO] Cost func = 1575.63
Route;Vehicle;Customer;Arrival;Start;Finish and leave;Distance from previous;Distance from depot
0;0;67;12;12;102;12.2066;12.2066
0;0;65;103;103;193;1;12.8063
0;0;62;198;262;352;5.38516;18.0278
0;0;74;355;355;445;3;19.8494
0;0;72;450;450;540;5;23.8537
0;0;61;543;543;633;3;22.3607
0;0;64;635;635;725;2;21.5407
0;0;68;728;734;824;3;20.6155
0;0;66;829;829;919;5.38516;16.5529
0;0;69;921;921;1011;2;15.8114
1;1;32;31;31;121;31.6228;31.6228
1;1;33;123;123;213;2;33.5261
1;1;31;218;218;308;5.38516;33.541
1;1;35;313;313;403;5;38.0789
1;1;37;408;408;498;5.83095;39.2938
1;1;38;500;500;590;2;41.2311
1;1;39;595;595;685;5;40.3113
1;1;36;690;690;780;5;35.3553
1;1;34;783;783;873;3;32.3883
2;2;17;33;99;189;33.3017;33.3017
2;2;18;192;192;282;3;35.3553
2;2;19;287;287;377;5;39.0513
2;2;15;382;384;474;5;36.0555
2;2;16;479;479;569;5;40.3113
2;2;14;571;571;661;2;39.3573
2;2;12;664;664;754;3;38.0789
2;2;7;778;778;868;24.2074;16
2;2;3;870;870;960;2;16.1245
2;2;5;961;961;1051;1;15.1327
3;3;96;36;36;126;36.0555;36.0555
3;3;95;128;128;218;2;37.2022
3;3;94;221;221;311;3.60555;40.6079
3;3;92;314;368;458;3.60555;44.2041
3;3;93;460;475;565;2;43.0116
3;3;97;570;570;660;5;40.3113
3;3;100;665;665;755;5;38.0789
3;3;99;760;760;850;5;33.541
3;3;98;855;855;945;5.83095;30.8058
4;4;81;47;47;137;47.4342;47.4342
4;4;78;140;140;230;3;50.2892
4;4;76;232;232;322;2;52.2015
4;4;71;327;327;417;5;57.0088
4;4;70;422;422;512;5;58.5235
4;4;73;515;515;605;3;55.7135
4;4;77;609;609;699;4;52
4;4;79;700;700;790;1;51.0784
4;4;80;795;795;885;5.38516;51.4781
4;4;63;923;923;1013;38.0789;14.1421
5;5;87;25;85;175;25.4951;25.4951
5;5;86;176;176;266;1;26.4764
5;5;83;272;272;362;6;32.3883
5;5;82;365;365;455;3;35.3553
5;5;84;460;460;550;5.83095;31.0483
5;5;85;552;552;642;2.82843;29.7321
5;5;88;645;645;735;3;26.9258
5;5;89;737;737;827;2.82843;24.3516
5;5;91;830;830;920;3.60555;22.3607
5;5;90;925;925;1015;5;20.6155
6;6;43;16;16;106;16.5529;16.5529
6;6;42;109;109;199;3;19.3132
6;6;41;201;201;291;2;18.6815
6;6;40;293;293;383;2;20.6155
6;6;44;386;386;476;3;21.5407
6;6;46;478;478;568;2.82843;20.5913
6;6;45;570;570;660;2;22.3607
6;6;48;662;662;752;2;23.3238
6;6;51;755;755;845;3;25
6;6;50;847;847;937;2.23607;22.8035
6;6;52;940;940;1030;3.16228;21.2132
6;6;49;1033;1033;1123;3;19.2094
6;6;47;1125;1125;1215;2;18.0278
7;8;55;35;95;185;35.0571;35.0571
7;8;54;190;190;280;5;40.05
7;8;53;285;286;376;5.38516;45.1774
7;8;56;380;385;475;4;45
7;8;58;477;477;567;2;45.0444
7;8;60;570;570;660;3;45.2769
7;8;59;670;670;760;10.4403;35.0571
7;8;57;762;762;852;2;35
8;11;20;10;10;100;10;10
8;11;24;105;105;195;5;15
8;11;25;197;197;287;2;15.1327
8;11;27;289;289;379;2;17.1172
8;11;29;382;382;472;3.60555;20
8;11;30;477;477;567;5;20.6155
8;11;28;570;570;660;3;17.7201
8;11;26;662;662;752;2;15.8114
8;11;23;755;755;845;3;13
8;11;22;848;848;938;3;12.1655
8;11;21;940;940;1030;2;10.198
9;13;13;30;30;120;30.8058;30.8058
9;13;8;137;255;345;17.4642;18.1108
9;13;10;348;357;447;3.60555;16.763
9;13;11;450;450;540;3;19.6469
9;13;9;543;543;633;3.16228;20.0998
9;13;6;635;635;725;2.23607;19
9;13;4;727;727;817;2.23607;18.1108
9;13;2;820;820;910;3.60555;20.6155
9;13;1;912;912;1002;2;18.6815
9;13;75;1005;1005;1095;3;15.8114
[INFO] Improved solution satisfies Capacity: 1
[INFO] Improved solution satisfies Site-Dependency: 1
[INFO] Improved solution satisfies Time Windows: 1
[INFO] Improved solution's total violated time: 0
[INFO] Objective = 864.226
[INFO] Cost func = 864.226
[DEBUG]  SOLUTION: 864.226 | 0 | {0, 0}
[test_data/solomon/c104.csv]
[INFO] Initial solution satisfies Capacity: 1
[INFO] Initial solution satisfies Site-Dependency: 1
[INFO] Initial solution satisfies Time Windows: 1
[INFO] Initial solution's total violated time: 0
[INFO] Objective = 1481.08
[INFO] Cost func = 1481.08
Route;Vehicle;Customer;Arrival;Start;Finish and leave;Distance from previous;Distance from depot
0;0;67;12;12;102;12.2066;12.2066
0;0;65;103;103;193;1;12.8063
0;0;63;195;195;285;2;14.1421
0;0;62;290;290;380;5;18.0278
0;0;74;383;383;473;3;19.8494
0;0;72;478;478;568;5;23.8537
0;0;61;571;571;661;3;22.3607
0;0;64;663;663;753;2;21.5407
0;0;68;756;756;846;3;20.6155
0;0;66;851;851;941;5.38516;16.5529
0;0;69;943;943;1033;2;15.8114
1;1;26;15;15;105;15.8114;15.8114
1;1;27;108;108;198;3.60555;17.1172
1;1;25;200;200;290;2;15.1327
1;1;24;292;292;382;2;15
1;1;29;387;387;477;5;20
1;1;30;482;482;572;5;20.6155
1;1;28;575;575;665;3;17.7201
1;1;23;670;732;822;5;13
1;1;22;825;825;915;3;12.1655
1;1;21;917;917;1007;2;10.198
1;1;20;1009;1009;1099;2;10
2;2;13;30;30;120;30.8058;30.8058
2;2;17;124;124;214;4;33.3017
2;2;18;217;217;307;3;35.3553
2;2;19;312;312;402;5;39.0513
2;2;15;407;407;497;5;36.0555
2;2;16;502;502;592;5;40.3113
2;2;14;594;594;684;2;39.3573
2;2;12;687;687;777;3;38.0789
2;2;10;798;798;888;21.4709;16.763
3;3;43;16;16;106;16.5529;16.5529
3;3;41;109;109;199;3.60555;18.6815
3;3;40;201;201;291;2;20.6155
3;3;42;293;293;383;2.82843;19.3132
3;3;44;385;385;475;2.23607;21.5407
3;3;46;477;477;567;2.82843;20.5913
3;3;45;569;569;659;2;22.3607
3;3;48;661;661;751;2;23.3238
3;3;51;754;754;844;3;25
3;3;50;846;846;936;2.23607;22.8035
3;3;52;939;939;1029;3.16228;21.2132
3;3;49;1032;1032;1122;3;19.2094
3;3;47;1124;1124;1214;2;18.0278
4;4;90;20;20;110;20.6155;20.6155
4;4;87;115;115;205;5;25.4951
4;4;86;206;206;296;1;26.4764
4;4;83;302;302;392;6;32.3883
4;4;82;395;395;485;3;35.3553
4;4;84;490;490;580;5.83095;31.0483
4;4;85;582;582;672;2.82843;29.7321
4;4;88;675;675;765;3;26.9258
4;4;89;767;767;857;2.82843;24.3516
4;4;91;860;860;950;3.60555;22.3607
5;6;34;32;32;122;32.3883;32.3883
5;6;36;125;125;215;3;35.3553
5;6;39;220;220;310;5;40.3113
5;6;38;315;479;569;5;41.2311
5;6;37;571;571;661;2;39.2938
5;6;33;667;667;757;6;33.5261
5;6;32;759;759;849;2;31.6228
5;6;35;856;856;946;7.07107;38.0789
5;6;31;951;951;1041;5;33.541
6;7;98;30;30;120;30.8058;30.8058
6;7;96;125;125;215;5.38516;36.0555
6;7;95;217;217;307;2;37.2022
6;7;94;310;310;400;3.60555;40.6079
6;7;92;403;403;493;3.60555;44.2041
6;7;93;495;495;585;2;43.0116
6;7;97;590;590;680;5;40.3113
6;7;100;685;685;775;5;38.0789
6;7;99;780;780;870;5;33.541
7;8;57;35;35;125;35;35
7;8;55;127;127;217;2;35.0571
7;8;54;222;222;312;5;40.05
7;8;53;317;317;407;5.38516;45.1774
7;8;56;411;411;501;4;45
7;8;58;503;503;593;2;45.0444
7;8;60;596;596;686;3;45.2769
7;8;59;696;696;786;10.4403;35.0571
8;9;81;47;47;137;47.4342;47.4342
8;9;78;140;140;230;3;50.2892
8;9;76;232;232;322;2;52.2015
8;9;71;327;327;417;5;57.0088
8;9;70;422;422;512;5;58.5235
8;9;73;515;515;605;3;55.7135
8;9;77;609;609;699;4;52
8;9;79;700;700;790;1;51.0784
8;9;80;795;795;885;5.38516;51.4781
9;12;5;15;15;105;15.1327;15.1327
9;12;3;106;106;196;1;16.1245
9;12;7;198;198;288;2;16
9;12;8;290;290;380;2.82843;18.1108
9;12;11;383;448;538;3.16228;19.6469
9;12;9;541;541;631;3.16228;20.0998
9;12;6;633;633;723;2.23607;19
9;12;4;725;727;817;2.23607;18.1108
9;12;2;820;820;910;3.60555;20.6155
9;12;1;912;912;1002;2;18.6815
9;12;75;1005;1005;1095;3;15.8114
[INFO] Improved solution satisfies Capacity: 1
[INFO] Improved solution satisfies Site-Dependency: 1
[INFO] Improved solution satisfies Time Windows: 1
[INFO] Improved solution's total violated time: 0
[INFO] Objective = 837.705
[INFO] Cost func = 837.705
[DEBUG]  SOLUTION: 837.705 | 0 | {0, 0}
[test_data/solomon/c105.csv]
[INFO] Initial solution satisfies Capacity: 1
[INFO] Initial solution satisfies Site-Dependency: 1
[INFO] Initial solution satisfies Time Windows: 1
[INFO] Initial solution's total violated time: 0
[INFO] Objective = 1611.88
[INFO] Cost func = 1611.88
Route;Vehicle;Customer;Arrival;Start;Finish and leave;Distance from previous;Distance from depot
0;0;90;20;20;110;20.6155;20.6155
0;0;87;115;115;205;5;25.4951
0;0;86;206;206;296;1;26.4764
0;0;83;302;302;392;6;32.3883
0;0;82;395;395;485;3;35.3553
0;0;84;490;490;580;5.83095;31.0483
0;0;85;582;582;672;2.82843;29.7321
0;0;88;675;675;765;3;26.9258
0;0;89;767;767;857;2.82843;24.3516
0;0;91;860;860;950;3.60555;22.3607
1;1;13;30;30;120;30.8058;30.8058
1;1;17;124;124;214;4;33.3017
1;1;18;217;217;307;3;35.3553
1;1;19;312;312;402;5;39.0513
1;1;15;407;407;497;5;36.0555
1;1;16;502;502;592;5;40.3113
1;1;14;594;594;684;2;39.3573
1;1;12;687;687;777;3;38.0789
2;2;20;10;10;100;10;10
2;2;24;105;105;195;5;15
2;2;25;197;197;287;2;15.1327
2;2;27;289;289;379;2;17.1172
2;2;29;382;382;472;3.60555;20
2;2;30;477;477;567;5;20.6155
2;2;28;570;570;660;3;17.7201
2;2;26;662;662;752;2;15.8114
2;2;23;755;755;845;3;13
2;2;22;848;848;938;3;12.1655
2;2;21;940;940;1030;2;10.198
3;5;98;30;30;120;30.8058;30.8058
3;5;96;125;125;215;5.38516;36.0555
3;5;95;217;217;307;2;37.2022
3;5;94;310;310;400;3.60555;40.6079
3;5;92;403;403;493;3.60555;44.2041
3;5;93;495;495;585;2;43.0116
3;5;97;590;590;680;5;40.3113
3;5;100;685;685;775;5;38.0789
3;5;99;780;780;870;5;33.541
4;6;81;47;47;137;47.4342;47.4342
4;6;78;140;140;230;3;50.2892
4;6;76;232;232;322;2;52.2015
4;6;71;327;327;417;5;57.0088
4;6;70;422;422;512;5;58.5235
4;6;73;515;515;605;3;55.7135
4;6;77;609;609;699;4;52
4;6;79;700;700;790;1;51.0784
4;6;80;795;795;885;5.38516;51.4781
5;8;32;31;31;121;31.6228;31.6228
5;8;33;123;123;213;2;33.5261
5;8;31;218;218;308;5.38516;33.541
5;8;35;313;313;403;5;38.0789
5;8;37;408;408;498;5.83095;39.2938
5;8;38;500;500;590;2;41.2311
5;8;39;595;595;685;5;40.3113
5;8;36;690;690;780;5;35.3553
5;8;34;783;783;873;3;32.3883
6;9;57;35;35;125;35;35
6;9;55;127;127;217;2;35.0571
6;9;54;222;222;312;5;40.05
6;9;53;317;317;407;5.38516;45.1774
6;9;56;411;411;501;4;45
6;9;58;503;503;593;2;45.0444
6;9;60;596;596;686;3;45.2769
6;9;59;696;696;786;10.4403;35.0571
7;13;5;15;15;105;15.1327;15.1327
7;13;3;106;106;196;1;16.1245
7;13;7;198;198;288;2;16
7;13;8;290;290;380;2.82843;18.1108
7;13;10;383;383;473;3.60555;16.763
7;13;11;476;476;566;3;19.6469
7;13;9;569;569;659;3.16228;20.0998
7;13;6;661;661;751;2.23607;19
7;13;4;753;753;843;2.23607;18.1108
7;13;2;846;846;936;3.60555;20.6155
7;13;1;938;938;1028;2;18.6815
7;13;75;1031;1031;1121;3;15.8114
8;15;43;16;16;106;16.5529;16.5529
8;15;42;109;109;199;3;19.3132
8;15;41;201;201;291;2;18.6815
8;15;40;293;293;383;2;20.6155
8;15;44;386;386;476;3;21.5407
8;15;46;478;478;568;2.82843;20.5913
8;15;45;570;570;660;2;22.3607
8;15;48;662;662;752;2;23.3238
8;15;51;755;755;845;3;25
8;15;50;847;847;937;2.23607;22.8035
8;15;52;940;940;1030;3.16228;21.2132
8;15;49;1033;1033;1123;3;19.2094
8;15;47;1125;1125;1215;2;18.0278
9;17;67;12;12;102;12.2066;12.2066
9;17;65;103;103;193;1;12.8063
9;17;63;195;195;285;2;14.1421
9;17;62;290;290;380;5;18.0278
9;17;74;383;383;473;3;19.8494
9;17;72;478;478;568;5;23.8537
9;17;61;571;571;661;3;22.3607
9;17;64;663;663;753;2;21.5407
9;17;68;756;756;846;3;20.6155
9;17;66;851;851;941;5.38516;16.5529
9;17;69;943;943;1033;2;15.8114
[INFO] Improved solution satisfies Capacity: 1
[INFO] Improved solution satisfies Site-Dependency: 1
[INFO] Improved solution satisfies Time Windows: 1
[INFO] Improved solution's total violated time: 0
[INFO] Objective = 828.937
[INFO] Cost func = 828.937
[DEBUG]  SOLUTION: 828.937 | 0 | {0, 0}
[test_data/solomon/c106.csv]
[INFO] Initial solution satisfies Capacity: 1
[INFO] Initial solution satisfies Site-Dependency: 1
[INFO] Initial solution satisfies Time Windows: 1
[INFO] Initial solution's total violated time: 0
[INFO] Objective = 1931
[INFO] Cost func = 1931
Route;Vehicle;Customer;Arrival;Start;Finish and leave;Distance from previous;Distance from depot
0;0;43;16;16;106;16.5529;16.5529
0;0;42;109;109;199;3;19.3132
0;0;41;201;201;291;2;18.6815
0;0;40;293;293;383;2;20.6155
0;0;44;386;386;476;3;21.5407
0;0;46;478;478;568;2.82843;20.5913
0;0;45;570;570;660;2;22.3607
0;0;48;662;662;752;2;23.3238
0;0;51;755;755;845;3;25
0;0;50;847;847;937;2.23607;22.8035
0;0;52;940;940;1030;3.16228;21.2132
0;0;49;1033;1033;1123;3;19.2094
0;0;47;1125;1125;1215;2;18.0278
1;1;57;35;35;125;35;35
1;1;55;127;127;217;2;35.0571
1;1;54;222;222;312;5;40.05
1;1;53;317;317;407;5.38516;45.1774
1;1;56;411;411;501;4;45
1;1;58;503;503;593;2;45.0444
1;1;60;596;596;686;3;45.2769
1;1;59;696;696;786;10.4403;35.0571
2;2;67;12;12;102;12.2066;12.2066
2;2;65;103;103;193;1;12.8063
2;2;63;195;195;285;2;14.1421
2;2;62;290;290;380;5;18.0278
2;2;74;383;383;473;3;19.8494
2;2;72;478;478;568;5;23.8537
2;2;61;571;571;661;3;22.3607
2;2;64;663;663;753;2;21.5407
2;2;68;756;756;846;3;20.6155
2;2;66;851;851;941;5.38516;16.5529
2;2;69;943;943;1033;2;15.8114
3;4;90;20;20;110;20.6155;20.6155
3;4;87;115;115;205;5;25.4951
3;4;86;206;206;296;1;26.4764
3;4;83;302;302;392;6;32.3883
3;4;82;395;395;485;3;35.3553
3;4;84;490;490;580;5.83095;31.0483
3;4;85;582;582;672;2.82843;29.7321
3;4;88;675;675;765;3;26.9258
3;4;89;767;767;857;2.82843;24.3516
3;4;91;860;860;950;3.60555;22.3607
4;5;5;15;15;105;15.1327;15.1327
4;5;3;106;106;196;1;16.1245
4;5;7;198;198;288;2;16
4;5;8;290;290;380;2.82843;18.1108
4;5;10;383;383;473;3.60555;16.763
4;5;11;476;476;566;3;19.6469
4;5;9;569;569;659;3.16228;20.0998
4;5;6;661;661;751;2.23607;19
4;5;4;753;753;843;2.23607;18.1108
4;5;2;846;846;936;3.60555;20.6155
4;5;1;938;938;1028;2;18.6815
4;5;75;1031;1031;1121;3;15.8114
5;6;32;31;31;121;31.6228;31.6228
5;6;33;123;123;213;2;33.5261
5;6;31;218;218;308;5.38516;33.541
5;6;35;313;313;403;5;38.0789
5;6;37;408;408;498;5.83095;39.2938
5;6;38;500;500;590;2;41.2311
5;6;39;595;595;685;5;40.3113
5;6;36;690;690;780;5;35.3553
5;6;34;783;783;873;3;32.3883
6;8;98;30;30;120;30.8058;30.8058
6;8;96;125;125;215;5.38516;36.0555
6;8;95;217;217;307;2;37.2022
6;8;94;310;310;400;3.60555;40.6079
6;8;92;403;403;493;3.60555;44.2041
6;8;93;495;495;585;2;43.0116
6;8;97;590;590;680;5;40.3113
6;8;100;685;685;775;5;38.0789
6;8;99;780;780;870;5;33.541
7;9;81;47;47;137;47.4342;47.4342
7;9;78;140;140;230;3;50.2892
7;9;76;232;232;322;2;52.2015
7;9;71;327;327;417;5;57.0088
7;9;70;422;422;512;5;58.5235
7;9;73;515;515;605;3;55.7135
7;9;77;609;609;699;4;52
7;9;79;700;700;790;1;51.0784
7;9;80;795;795;885;5.38516;51.4781
8;11;13;30;30;120;30.8058;30.8058
8;11;17;124;124;214;4;33.3017
8;11;18;217;217;307;3;35.3553
8;11;19;312;312;402;5;39.0513
8;11;15;407;407;497;5;36.0555
8;11;16;502;502;592;5;40.3113
8;11;14;594;594;684;2;39.3573
8;11;12;687;687;777;3;38.0789
9;13;20;10;10;100;10;10
9;13;24;105;105;195;5;15
9;13;25;197;197;287;2;15.1327
9;13;27;289;289;379;2;17.1172
9;13;29;382;382;472;3.60555;20
9;13;30;477;477;567;5;20.6155
9;13;28;570;570;660;3;17.7201
9;13;26;662;662;752;2;15.8114
9;13;23;755;755;845;3;13
9;13;22;848;848;938;3;12.1655
9;13;21;940;940;1030;2;10.198
[INFO] Improved solution satisfies Capacity: 1
[INFO] Improved solution satisfies Site-Dependency: 1
[INFO] Improved solution satisfies Time Windows: 1
[INFO] Improved solution's total violated time: 0
[INFO] Objective = 828.937
[INFO] Cost func = 828.937
